# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,0.62
# idle,pivot_deg,-2.90
# idle,pivot_deg,28.12
# idle,pivot_deg,6.06
# idle,pivot_deg,-14.50
# idle,pivot_deg,3.08
# idle,pivot_deg,5.36
# idle,pivot_deg,0.97
# idle,pivot_deg,-0.70
# idle,pivot_deg,0.26
# idle,pivot_deg,0.53
# idle,pivot_deg,0.35
# idle,pivot_deg,-1.67
# idle,pivot_deg,0.88
# idle,pivot_deg,-0.09
# idle,pivot_deg,0.18
# idle,pivot_deg,0.44
# idle,pivot_deg,0.00
# idle,pivot_deg,0.18
# idle,pivot_deg,0.53
# idle,pivot_deg,0.26
# idle,pivot_deg,-0.62
# idle,pivot_deg,-9.84
# idle,pivot_deg,2.20
# idle,pivot_deg,0.35
# idle,pivot_deg,-5.01
# idle,pivot_deg,-2.02
# idle,pivot_deg,0.53
# idle,pivot_deg,-1.67
# idle,pivot_deg,1.85
# idle,pivot_deg,-2.99
# idle,pivot_deg,-2.46
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
# idle,pivot_deg,-0.79
  STAGE 1: motor OFF. Displace ~20-30 deg and RELEASE.
# TEST,freeswing
# DURATION_S,20
# columns: t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
t_s,pivot_deg,pivot_dps,wheel_deg,wheel_dps,duty
1.7370,-0.352,-67.45,275.451,0.0,0
1.7420,-0.879,-88.50,275.185,0.0,0
1.7470,-1.494,-105.73,275.273,0.0,0
1.7520,-2.197,-123.36,275.716,0.0,0
1.7570,-2.725,-113.31,275.451,0.0,0
1.7620,-3.164,-112.93,275.628,0.0,0
1.7670,-3.779,-114.93,275.362,0.0,0
1.7720,-4.043,-74.85,275.451,0.0,0
1.7770,-4.043,-33.21,275.451,0.0,0
1.7820,-3.867,2.86,275.362,0.0,0
1.7870,-3.867,1.27,275.539,0.0,0
1.7920,-3.779,9.85,275.451,0.0,0
1.7970,-3.604,20.34,275.362,0.0,0
1.8020,-3.428,26.62,275.273,0.0,0
1.8070,-3.340,26.75,275.273,0.0,0
1.8120,-3.340,13.08,274.564,0.0,0
1.8170,-3.164,25.34,275.539,0.0,0
1.8220,-2.988,33.39,274.919,0.0,0
1.8270,-2.725,43.64,275.273,0.0,0
1.8320,-2.285,67.01,275.362,0.0,0
1.8370,-1.846,75.45,275.185,0.0,0
1.8420,-1.406,81.12,275.273,0.0,0
1.8480,-1.055,72.69,275.096,0.0,0
1.8530,-0.879,58.15,275.716,0.0,0
1.8580,-0.703,43.39,275.096,0.0,0
1.8630,-0.703,19.25,275.185,0.0,0
1.8680,-0.791,0.64,275.185,0.0,0
1.8730,-0.967,-19.25,275.273,0.0,0
1.8780,-1.055,-17.83,275.096,0.0,0
1.8830,-1.406,-46.26,275.185,0.0,0
1.8880,-1.846,-68.16,275.362,0.0,0
1.8930,-2.461,-95.48,275.451,0.0,0
1.8980,-2.900,-101.70,275.362,0.0,0
