# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-116.46
# idle,pivot_deg,-132.98
# idle,pivot_deg,-7.12
# idle,pivot_deg,36.30
# idle,pivot_deg,33.31
# idle,pivot_deg,35.77
# idle,pivot_deg,36.30
# idle,pivot_deg,36.04
# > o
# ok,pivot zeroed
# idle,pivot_deg,0.35
# idle,pivot_deg,1.58
# idle,pivot_deg,1.93
# idle,pivot_deg,1.32
# idle,pivot_deg,0.97
# > q 180

#BEGIN
# test,yquiet
# nominal_deg,180.0
# sample_hz,200
# action,do not touch the arm
t_s,pivot_deg,wheel_deg
1.6000,2.988,248.685
1.6050,2.988,248.597
1.6100,3.076,248.508
1.6150,3.076,248.331
1.6200,3.076,248.508
1.6250,3.164,248.685
1.6300,3.252,248.685
1.6350,3.252,248.685
1.6400,3.340,248.597
1.6450,3.428,248.597
1.6500,3.428,248.331
1.6550,3.428,248.508
1.6600,3.428,248.597
1.6650,3.516,248.774
1.6700,3.516,248.419
1.6750,3.516,248.597
1.6800,3.428,248.508
1.6850,3.428,248.508
1.6900,3.428,248.597
1.6950,3.428,248.774
1.7000,3.428,248.774
1.7050,3.340,248.508
1.7100,3.340,248.597
1.7150,3.340,248.597
1.7200,3.340,248.685
1.7250,3.428,248.685
1.7300,3.604,248.685
1.7350,3.604,248.419
1.7400,3.604,248.597
1.7450,3.516,248.508
1.7500,3.604,248.597
1.7550,3.604,248.685
1.7600,3.604,248.154
1.7650,3.604,248.597
1.7700,3.516,248.508
1.7750,3.428,248.419
1.7800,3.340,248.508
1.7850,3.340,248.597
1.7900,3.428,248.774
1.7950,3.428,248.597
1.8000,3.428,248.685
1.8050,3.428,248.597
1.8100,3.428,248.419
1.8150,3.340,248.597
1.8200,3.340,248.597
1.8250,3.252,248.685
1.8300,3.164,248.774
1.8350,3.076,248.597
1.8400,2.988,248.419
1.8450,2.900,248.863
1.8500,2.900,248.863
1.8550,2.900,248.597
1.8600,2.900,248.774
1.8650,2.900,248.508
1.8700,2.813,248.685
1.8750,2.900,248.685
1.8800,2.900,248.685
1.8850,2.988,248.597
1.8900,2.988,248.508
1.8950,3.076,248.065
1.9000,3.076,248.508
1.9050,3.076,248.508
1.9100,3.164,248.597
1.9150,3.252,248.242
1.9200,3.340,247.976
1.9250,3.340,248.774
1.9300,3.252,248.597
1.9350,3.252,248.685
1.9400,3.252,248.419
1.9450,3.164,248.508
1.9500,3.164,248.597
1.9550,3.076,248.597
1.9600,3.076,248.508
1.9650,2.988,248.508
1.9700,2.900,248.597
1.9750,2.900,248.597
1.9800,2.813,248.685
1.9850,2.813,248.597
1.9900,2.725,248.685
1.9950,2.725,248.951
2.0000,2.725,248.597
2.0050,2.637,248.685
2.0100,2.725,248.597
2.0150,2.725,248.597
2.0200,2.813,248.508
2.0250,2.813,248.508
2.0300,2.900,249.217
2.0350,2.900,248.508
2.0400,2.900,248.774
